"name","short_name","team_type","is_venue_host","group_id","group_order","prefecture","notes"
"浦和南高校","浦和南","local","True","A","1","埼玉県","会場担当校 / 地方:関東 / リーグ:埼玉北部リーグ"
"浦和東高校","浦和東","local","False","A","2","埼玉県","地方:関東 / リーグ:埼玉北部リーグ"
"大宮高校","大宮","local","False","A","3","埼玉県","地方:関東 / リーグ:埼玉中部リーグ"
"川口高校","川口","local","False","A","4","埼玉県","地方:関東 / リーグ:埼玉中部リーグ"
"青森山田高校","青森山田","invited","False","A","5","青森県","招待校 / 地方:東北 / リーグ:東北プリンスリーグ"
"仙台育英高校","仙台育英","invited","False","A","6","宮城県","招待校 / 地方:東北 / リーグ:東北プリンスリーグ"
"市立浦和高校","市立浦和","local","True","B","1","埼玉県","会場担当校 / 地方:関東 / リーグ:埼玉南部リーグ"
"浦和西高校","浦和西","local","False","B","2","埼玉県","地方:関東 / リーグ:埼玉南部リーグ"
"川越高校","川越","local","False","B","3","埼玉県","地方:関東 / リーグ:埼玉西部リーグ"
"熊谷高校","熊谷","local","False","B","4","埼玉県","地方:関東 / リーグ:埼玉北部リーグ"
"新潟明訓高校","新潟明訓","invited","False","B","5","新潟県","招待校 / 地方:北信越 / リーグ:北信越リーグ"
"静岡学園高校","静岡学園","invited","False","B","6","静岡県","招待校 / 地方:東海 / リーグ:東海リーグ"
"浦和学院高校","浦和学院","local","True","C","1","埼玉県","会場担当校 / 地方:関東 / リーグ:埼玉中部リーグ"
"春日部高校","春日部","local","False","C","2","埼玉県","地方:関東 / リーグ:埼玉東部リーグ"
"所沢高校","所沢","local","False","C","3","埼玉県","地方:関東 / リーグ:埼玉西部リーグ"
"越谷高校","越谷","local","False","C","4","埼玉県","地方:関東 / リーグ:埼玉東部リーグ"
"東京文教大附属高校","文教大附属","invited","False","C","5","東京都","招待校 / 地方:関東 / リーグ:東京リーグ"
"神奈川清陵高校","清陵","invited","False","C","6","神奈川県","招待校 / 地方:関東 / リーグ:神奈川リーグ"
"武南高校","武南","local","True","D","1","埼玉県","会場担当校 / 地方:関東 / リーグ:埼玉南部リーグ"
"草加高校","草加","local","False","D","2","埼玉県","地方:関東 / リーグ:埼玉東部リーグ"
"上尾高校","上尾","local","False","D","3","埼玉県","地方:関東 / リーグ:埼玉北部リーグ"
"秩父高校","秩父","local","False","D","4","埼玉県","地方:関東 / リーグ:埼玉西部リーグ"
"長野北信高校","北信","invited","False","D","5","長野県","招待校 / 地方:北信越 / リーグ:長野リーグ"
"栃木南高校","栃木南","invited","False","D","6","栃木県","招待校 / 地方:関東 / リーグ:栃木リーグ"
